Дата;Время;Покупка;Продажа
2026-07-01;18:05;78,00;82,41
2026-07-02;12:33;78,33;82,74
2026-07-02;15:29;78,11;82,52
2026-07-02;15:34;78,11;82,52
2026-07-02;17:10;78,11;82,52
2026-07-02;18:23;78,11;82,52
2026-07-03;12:30;77,14;81,55
2026-07-03;14:43;77,34;81,75
2026-07-03;15:40;77,25;81,75
2026-07-03;18:53;77,25;81,75
2026-07-04;11:12;77,25;81,75
2026-07-04;15:44;77,25;81,75
2026-07-04;20:15;77,25;81,75
2026-07-06;17:18;77,38;81,79
2026-07-07;13:56;76,49;80,90
2026-07-07;20:32;76,85;81,26
2026-07-08;12:00;76,68;81,09
2026-07-08;17:13;76,60;81,01
2026-07-09;16:13;76,49;80,90
2026-07-09;21:08;76,49;80,90
2026-07-10;13:28;77,03;81,44
2026-07-10;19:07;76,85;81,35
2026-07-11;10:37;76,85;81,35
2026-07-11;14:38;76,85;81,35
2026-07-11;18:07;76,85;81,35
2026-07-13;13:40;76,65;81,55
2026-07-13;19:03;76,91;81,32
2026-07-14;09:25;77,20;81,61
2026-07-14;17:49;77,35;81,76
2026-07-14;19:55;77,35;81,76
2026-07-15;12:55;77,95;82,36
2026-07-15;19:49;78,13;82,54
2026-07-15;21:41;78,13;82,54
2026-07-17;06:50;78,14;82,55
2026-07-17;12:03;78,30;82,71
2026-07-18;08:33;78,67;83,17
2026-07-18;11:32;78,67;83,17
2026-07-18;18:38;78,67;83,17
2026-07-19;11:40;78,67;83,17
2026-07-19;18:42;78,67;83,17
2026-07-20;15:30;78,30;82,71
2026-07-20;20:45;78,30;82,71
2026-07-21;13:04;78,32;82,64
2026-07-21;20:23;78,15;82,56
2026-07-22;13:11;78,15;82,29
2026-07-22;20:00;78,25;82,66
2026-07-23;13:14;78,14;82,28
2026-07-23;20:03;78,17;82,58
2026-07-24;13:06;77,71;81,85
2026-07-24;20:06;77,52;82,02
2026-07-25;11:50;77,52;82,02
2026-07-25;18:42;77,52;82,02
2026-07-26;11:49;77,52;82,02
2026-07-26;18:46;77,52;82,02
2026-07-27;16:36;77,74;81,88
2026-07-27;20:48;77,74;81,88
2026-07-28;15:55;78,35;82,76
2026-07-28;20:10;78,35;82,76
2026-07-29;15:33;78,50;83,45
2026-07-29;18:44;78,50;83,45
2026-07-30;13:18;79,18;83,77
2026-07-30;20:12;78,71;83,66
2026-07-31;15:49;77,97;83,19
2026-07-31;17:07;77,97;83,19
2026-08-01;16:31;77,97;83,19
2026-08-02;09:53;77,97;83,19
2026-08-02;16:29;77,97;83,19
2026-08-03;11:18;79,24;83,83
2026-08-03;17:26;78,95;83,90
2026-08-04;10:34;79,81;84,58
2026-08-04;17:14;79,78;84,73
2026-08-05;10:31;79,39;84,16
2026-08-05;17:04;79,39;84,16
2026-08-06;10:35;80,29;85,06
2026-08-07;08:55;80,71;85,48
2026-08-07;16:26;80,89;86,11
2026-08-08;15:57;80,89;86,11
2026-08-09;08:37;80,89;86,11
2026-08-09;15:59;80,89;86,11
2026-08-10;09:16;81,30;86,07
2026-08-10;16:25;81,55;86,50
2026-08-11;08:50;80,78;85,55
2026-08-11;16:26;81,28;86,23
2026-08-12;09:08;81,68;86,45
2026-08-12;16:28;81,62;86,57
2026-08-13;09:08;82,51;87,28
2026-08-13;16:27;82,84;87,79
2026-08-14;09:04;82,96;87,73
2026-08-14;16:26;83,04;88,44
2026-08-15;08:23;83,04;88,44
2026-08-15;15:48;83,04;88,44
2026-08-16;08:23;83,04;88,44
2026-08-16;15:49;83,04;88,44
2026-08-17;08:38;83,30;88,70
2026-08-17;15:52;83,75;88,70
2026-08-18;08:32;83,72;89,12
2026-08-18;15:59;83,91;89,31
2026-08-19;08:33;83,99;89,39
2026-08-19;15:59;83,54;88,49
2026-08-20;08:33;82,52;87,47
2026-08-20;16:01;82,26;87,21
2026-08-21;08:36;81,57;86,52
2026-08-21;16:00;81,57;86,79
2026-08-22;08:24;81,57;86,79
2026-08-22;15:48;81,57;86,79
2026-08-23;08:24;81,57;86,79
2026-08-23;15:50;81,57;86,79
2026-08-24;08:43;82,02;86,97
2026-08-24;16:05;82,38;87,33
2026-08-25;08:37;83,34;88,29
2026-08-25;16:09;81,87;87,36
2026-08-26;08:38;82,37;87,68
2026-08-26;16:36;82,50;87,81
2026-08-27;18:47;84,39;89,70
2026-08-28;00:33;84,39;89,70
2026-08-28;19:51;84,79;90,01
